Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Stony Brook University	Stony Brook	New York	11794	Y	Y	Y	N	N	40.903763	-73.127113
SUNY at Albany	Albany	New York	12222	Y	Y	Y	N	N	42.6512	-73.755459
Temple University	Philadelphia	Pennsylvania	19122	N	Y	Y	N	N	39.982099	-75.154861
Texas A&M University	College Station	Texas	77843	Y	Y	Y	N	N	30.616686	-96.339036
Texas Tech University	Lubbock	Texas	79409	N	Y	Y	N	N	33.587036	-101.852356
Tufts University	Medford	Massachusetts	02155	Y	N	Y	N	N	42.41985	-71.108724
Tulane University of Louisiana	New Orleans	Louisiana	70118	Y	Y	Y	N	N	29.93982	-90.122196
University at Buffalo	Buffalo	New York	14260	Y	Y	Y	N	N	42.999779	-78.784866
University of Alabama at Birmingham	Birmingham	Alabama	35294	Y	Y	Y	N	N	33.497992	-86.80711
University of Alabama in Huntsville	Huntsville	Alabama	35899	Y	Y	Y	N	N	34.728184	-86.585281
University of Alberta	Edmonton	Alberta	T6G 2J4	N	Y	Y	N	N	53.51677	-113.52739
University of Arizona	Tucson	Arizona	85721	Y	Y	Y	N	N	32.195816	-110.891716
University of Arkansas	Fayetteville	Arkansas	72701	Y	N	Y	N	N	36.065475	-94.15567
University of British Columbia	Vancouver	British Columbia		N	Y	Y	N	N	49.264049	-123.243483
University of Calgary	Calgary	Alberta		N	Y	Y	N	N	51.07749	-114.128487
University of California-Berkeley	Berkeley	California	94720	Y	Y	Y	N	N	37.8757515	-122.2434082
University of California-Davis	Davis	California	95616	Y	Y	Y	N	N	38.554642	-121.745003
University of California-Irvine	Irvine	California	92623	Y	Y	Y	N	N	33.690708	-117.812759
University of California-Los Angeles	Los Angeles	California	90095	Y	Y	Y	N	N	34.070251	-118.447594
University of California-Riverside	Riverside	California	92521	Y	Y	Y	N	N	33.972726	-117.32714
University of California-San Diego	La Jolla	California	92093	Y	Y	Y	N	N	32.881065	-117.237415
University of California-Santa Barbara	Santa Barbara	California	93106	Y	Y	Y	N	N	34.432999	-119.835388
University of California-Santa Cruz	Santa Cruz	California	95064	Y	N	Y	N	N	36.996452	-122.060284
University of Central Florida	Orlando	Florida	32816	Y	N	Y	N	N	28.604675	-81.204826
University of Chicago	Chicago	Illinois	60637	Y	Y	Y	N	N	41.792257	-87.599976
University of Cincinnati-Main Campus	Cincinnati	Ohio	45221	Y	Y	Y	N	N	39.132506	-84.518829
University of Colorado at Boulder	Boulder	Colorado	80309	Y	Y	Y	N	N	40.007401	-105.266327
University of Connecticut	Storrs	Connecticut	06269	Y	Y	Y	N	N	41.811211	-72.247177
University of Delaware	Newark	Delaware	19717	Y	Y	Y	N	N	39.71442	-75.739738
University of Florida	Gainesville	Florida	32611	Y	Y	Y	N	N	29.645405	-82.348671
University of Georgia	Athens	Georgia	30602	Y	Y	Y	N	N	33.944112	-83.423451
University of Guelph	Guelph	Ontario		N	Y	Y	N	N	43.531518	-80.227732
University of Hawaii at Manoa	Honolulu	Hawaii	96822	Y	Y	Y	N	N	21.300537	-157.816206
University of Houston	Houston	Texas	77004	Y	Y	Y	N	N	29.719477	-95.340149
University of Illinois at Chicago	Chicago	Illinois	60607	Y	Y	Y	N	N	41.865601	-87.645103
University of Illinois at Urbana-Champaign	Champaign	Illinois	61801	Y	Y	Y	N	N	40.111023	-88.19706
University of Kansas	Lawrence	Kansas	66045	Y	Y	Y	N	N	38.957201	-95.244865
University of Kentucky	Lexington	Kentucky	40506	Y	Y	Y	N	N	38.031826	-84.506584
University of Louisville	Louisville	Kentucky	40292	Y	Y	Y	N	N	38.232162	-85.671722
University of Manitoba	Winnipeg	Manitoba		N	Y	Y	N	N	49.815076	-97.155926
University of Maryland-College Park	College Park	Maryland	20742	Y	Y	Y	N	N	38.980666	-76.936919
University of Massachusetts Amherst	Amherst	Massachusetts	01003	Y	Y	Y	N	N	42.403877	-72.529938
University of Miami	Coral Gables	Florida	33124	Y	Y	Y	N	N	25.721135	-80.279559
University of Michigan-Ann Arbor	Ann Arbor	Michigan	48109	Y	Y	Y	N	N	42.2763	-83.7382
University of Minnesota-Twin Cities	Minneapolis	Minnesota	55455	Y	Y	Y	N	N	44.976073	-93.230859
University of Missouri-Columbia	Columbia	Missouri	65201	Y	Y	Y	N	N	38.944443	-92.326399
University of Nebraska-Lincoln	Lincoln	Nebraska	68588	Y	Y	Y	N	N	40.818176	-96.7026
University of New Mexico-Main Campus	Albuquerque	New Mexico	87131	Y	Y	Y	N	N	35.084822	-106.620708
University of North Carolina at Chapel Hill	Chapel Hill	North Carolina	27515	Y	Y	Y	N	N	35.936916	-79.039688
University of Notre Dame	Notre Dame	Indiana	46556	Y	Y	Y	N	N	41.695599	-86.238647
University of Oklahoma-Norman Campus	Norman	Oklahoma	73019	Y	Y	Y	N	N	35.19657	-97.442744
University of Oregon	Eugene	Oregon	97403	Y	Y	Y	N	N	44.036083	-123.052429
University of Ottawa	Ottawa	Ontario	K1N 6N5	N	Y	Y	N	N		
University of Pennsylvania	Philadelphia	Pennsylvania	19104	Y	Y	Y	N	N	39.95269	-75.194067
University of Pittsburgh-Pittsburgh Campus	Pittsburgh	Pennsylvania	15260	Y	Y	Y	N	N	40.443118	-79.955917
University of Rochester	Rochester	New York	14627	Y	Y	Y	N	N	43.128449	-77.632049
University of Saskatchewan	Saskatoon	Saskatchewan		N	Y	Y	N	N	52.131001	-106.614998
University of South Carolina-Columbia	Columbia	South Carolina	29208	Y	Y	Y	N	N	33.996305	-81.027157
